state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
AK,2002,642337.0,0.0,1.0,1050.0,2731101.0,24133.0,179438.0,0.0,1.0,"Vondersaar, Frank J.","Stevens, Ted "
AK,2008,687455.0,0.0,1.0,4576970.0,3858991.0,151767.0,147814.0,1.0,0.0,"Begich, Mark","Stevens, Ted"
AK,2010,713910.0,0.0,1.0,1331272.0,7439911.0,60045.0,183770.0,0.0,1.0,"McAdams, Scott T.","Murkowski, Lisa "
AK,2014,736283.0,1.0,0.0,8950661.0,7977268.0,129431.0,135445.0,0.0,1.0,"Begich, Mark","Sullivan, Dan"
AK,2016,741456.0,0.0,1.0,18286.0,4431094.0,36200.0,138149.0,0.0,1.0,"Metcalfe, Ray","Murkowski, Lisa"
AL,2002,4480089.0,0.0,1.0,1191848.0,4667726.0,538878.0,792561.0,0.0,1.0,"Parker, Susan","Sessions, Jeff"
AL,2008,4718206.0,0.0,1.0,332750.0,4956130.0,752391.0,1305383.0,0.0,1.0,"Figures, Vivian Davis","Sessions, Jeff"
AL,2010,4785437.0,0.0,1.0,5870.0,5283762.0,515619.0,968181.0,0.0,1.0,"Barnes, William G.","Shelby, Richard C."
AL,2016,4863525.0,0.0,1.0,33268.0,3467640.0,748709.0,1335104.0,0.0,1.0,"Crumpton, Ron","Shelby, Richard C."
AR,2002,2705927.0,0.0,1.0,4456340.0,4869537.0,433306.0,370653.0,1.0,0.0,"Pryor, Mark","Hutchinson, Tim"
AR,2010,2921964.0,1.0,0.0,10752803.0,3680708.0,288156.0,451618.0,0.0,1.0,"Lincoln, Blanche Lambert","Boozman, John"
AR,2014,2967392.0,1.0,0.0,11616728.0,13911690.06,334174.0,478819.0,0.0,1.0,"Pryor, Mark ","Cotton, Tom "
AR,2016,2989918.0,0.0,1.0,2279847.0,4178410.0,400602.0,661984.0,0.0,1.0,"Eldridge, Conner","Boozman, John"
AZ,2006,6029141.0,0.0,1.0,14709628.0,14123880.0,664141.0,814398.0,0.0,1.0,"Pederson, Jim","Kyl, Jon "
AZ,2010,6407172.0,0.0,1.0,1406934.0,18426347.0,592011.0,1005615.0,0.0,1.0,"Glassman, Rodney","McCain, John"
AZ,2012,6554978.0,0.0,0.0,6459791.0,9026951.0,1036542.0,1104457.0,0.0,1.0,"Carmona, Richard","Flake, Jeff"
AZ,2016,6941072.0,0.0,1.0,9283087.0,11756079.21,1031245.0,1359267.0,0.0,1.0,"Kirkpatrick, Ann","McCain, John"
AZ,2018,7158024.0,0.0,0.0,22643275.25,21876369.89,1191100.0,1135200.0,1.0,0.0,"Sinema, Kyrsten","McSally, Martha"
CA,2006,36021202.0,1.0,0.0,8238616.0,198630.0,5076289.0,2990822.0,1.0,0.0,"Feinstein, Dianne","Mountjoy, Richard ""Dick"""
CA,2010,37319502.0,1.0,0.0,13006222.0,22705617.0,5218137.0,4217386.0,1.0,0.0,"Boxer, Barbara","Fiorina, Carly"
CA,2012,37948800.0,1.0,0.0,12673306.0,1114350.0,7864624.0,4713887.0,1.0,0.0,"Feinstein, Dianne","Emken, Elizabeth"
CO,2002,4490406.0,0.0,1.0,5169891.0,5274958.0,648130.0,717893.0,0.0,1.0,"Strickland, Tom ","Allard, Wayne "
CO,2008,4889730.0,0.0,0.0,11787048.0,7387843.0,1231049.0,990784.0,1.0,0.0,"Udall, Mark","Schaffer, Bob"
CO,2010,5047349.0,1.0,0.0,13237822.0,5060212.54,854685.0,824789.0,1.0,0.0,"Bennet, Michael F.","Buck, Ken"
CO,2014,5350101.0,1.0,0.0,17414062.0,12302236.3,944203.0,983891.0,0.0,1.0,"Udall, Mark","Gardner, Cory"
CO,2016,5539215.0,1.0,0.0,15575583.0,4304687.0,1370710.0,1215318.0,1.0,0.0,"Bennet, Michael","Glenn, Darryl"
CT,2006,3517460.0,1.0,0.0,39607392.0,220984.0,1014939.0,109198.0,1.0,0.0,"Lieberman, Joseph ","Schlesinger, Alan"
CT,2010,3579114.0,0.0,0.0,8737377.0,50285122.0,605204.0,498341.0,1.0,0.0,"Blumenthal, Richard","McMahon, Linda E."
CT,2012,3594547.0,0.0,0.0,10543456.0,101926836.0,792983.0,651089.0,1.0,0.0,"Murphy, Christopher S.","McMahon, Linda E."
CT,2016,3578141.0,1.0,0.0,7362368.0,383917.0,920766.0,552621.0,1.0,0.0,"Blumenthal, Richard","Carter, Dan"
CT,2018,3571520.0,1.0,0.0,12522264.41,190461.61,787685.0,545717.0,1.0,0.0,"Murphy, Christopher S.","Corey, Matthew  *"
DE,2002,806169.0,1.0,0.0,2743279.0,2098914.0,135253.0,94793.0,1.0,0.0,"Biden, Joseph R., Jr.","Clatworthy, Raymond J."
DE,2006,859268.0,1.0,0.0,3177275.0,275341.0,170567.0,80861.0,1.0,0.0,"Carper, Thomas R.","Ting, Jan"
DE,2008,883874.0,1.0,0.0,1453307.0,116471.0,257539.0,140595.0,1.0,0.0,"Biden, Joseph R., Jr.","O'Donnell, Christine"
DE,2012,915179.0,1.0,0.0,3516328.0,181367.0,265415.0,115700.0,1.0,0.0,"Carper, Thomas R.","Wade, Kevin"
DE,2014,932487.0,1.0,0.0,4770827.0,113794.0,130655.0,98823.0,1.0,0.0,"Coons, Christopher A.","Wade, Kevin"
DE,2018,965479.0,1.0,0.0,3236955.45,225814.0,217385.0,137127.0,1.0,0.0,"Carper, Thomas R.","Arlett, Robert B."
FL,2006,18166990.0,1.0,0.0,15355490.0,9364869.95,2890548.0,1851007.0,1.0,0.0,"Nelson, Bill","Harris, Katherine "
FL,2010,18845537.0,0.0,0.0,9632322.0,21741330.0,1092936.0,2645743.0,0.0,1.0,"Meek, Kendrick B.","Rubio, Marco"
FL,2012,19297822.0,1.0,0.0,13404998.0,7272224.16,4523451.0,3458267.0,1.0,0.0,"Nelson, Bill ","Mack, Connie "
FL,2016,20613477.0,0.0,1.0,18700098.47,16618889.0,4122088.0,4857427.0,0.0,1.0,"Murphy, Patrick","Rubio, Marco"
FL,2018,21244317.0,1.0,0.0,32401758.29,85231716.47,4089472.0,4099505.0,0.0,1.0,"Nelson, Bill","Scott, Rick"
GA,2002,8508256.0,1.0,0.0,8170080.0,8134465.0,932422.0,1071352.0,0.0,1.0,"Cleland, Max","Chambliss, Saxby "
GA,2008,9504843.0,0.0,1.0,7490201.0,13969329.0,1757393.0,1867097.0,0.0,1.0,"Martin, Jim","Chambliss, Saxby"
GA,2010,9711881.0,0.0,1.0,336907.0,6505420.0,996516.0,1489904.0,0.0,1.0,"Thurmond, Michael ""Mike""","Isakson, Johnny"
GA,2014,10067278.0,0.0,0.0,16065610.0,14242966.0,1160811.0,1358088.0,0.0,1.0,"Nunn, Mary Michelle","Perdue, David Alfred"
GA,2016,10301890.0,0.0,1.0,2921085.0,8483562.74,1599726.0,2135806.0,0.0,1.0,"Barksdale, Jim","Isakson, Johnny"
HI,2006,1309731.0,1.0,0.0,2648898.0,356419.0,210330.0,126097.0,1.0,0.0,"Akaka, Daniel K. ","Thielen, Cynthia"
HI,2010,1363963.0,1.0,0.0,3616132.0,274023.0,277228.0,79939.0,1.0,0.0,"Inouye, Daniel K.","Cavasso, Cam "
HI,2012,1394804.0,0.0,0.0,5518572.0,5865323.0,269489.0,160994.0,1.0,0.0,"Hirono, Mazie","Lingle, Linda"
HI,2016,1427559.0,1.0,0.0,3842453.03,82940.0,306604.0,92653.0,1.0,0.0,"Schatz, Brian","Carroll, John"
HI,2018,1420593.0,1.0,0.0,3275240.47,19925.0,276316.0,112035.0,1.0,0.0,"Hirono, Mazie K.","Curtis, Ron"
IA,2002,2934234.0,1.0,0.0,6754658.0,5449648.0,554278.0,447892.0,1.0,0.0,"Harkin, Tom","Ganske, Greg"
IA,2008,3016734.0,1.0,0.0,6358882.0,59087.0,941665.0,560006.0,1.0,0.0,"Harkin, Tom","Reed, Christopher"
IA,2010,3050745.0,0.0,1.0,3152122.0,5762828.0,371686.0,718215.0,0.0,1.0,"Conlin, Roxanne","Grassley, Chuck"
IA,2014,3109350.0,0.0,0.0,12082748.0,12011101.0,494370.0,588575.0,0.0,1.0,"Braley, Bruce","Ernst, Joni"
IA,2016,3131371.0,0.0,1.0,2253232.63,8954942.0,549460.0,926007.0,0.0,1.0,"Judge, Patty ","Grassley, Charles E."
ID,2002,1340372.0,0.0,1.0,2174337.0,3026137.0,132975.0,266215.0,0.0,1.0,"Blinken, Alan","Craig, Larry E."
ID,2008,1534320.0,0.0,0.0,1424818.0,4034175.0,219903.0,406254.0,0.0,1.0,"LaRocco, Larry","Risch, Jim"
ID,2014,1631112.0,0.0,1.0,348686.0,2089762.0,151574.0,285596.0,0.0,1.0,"Mitchell, Nels","Risch, Jim"
ID,2016,1682380.0,0.0,1.0,818485.0,4289036.0,188249.0,449017.0,0.0,1.0,"Sturgill, Jerry ","Crapo, Mike"
IL,2002,12525556.0,1.0,0.0,5188251.0,797718.0,2103766.0,1325703.0,1.0,0.0,"Durbin, Richard J.","Durkin, Jim"
IL,2008,12747038.0,1.0,0.0,8116764.0,2025437.0,3615844.0,1520621.0,1.0,0.0,"Durbin, Richard J.","Sauerberg, Steve"
IL,2014,12884493.0,1.0,0.0,7856360.0,2422835.0,1929637.0,1538522.0,1.0,0.0,"Durbin, Richard J.","Oberweis, James D. ""Jim"""
IL,2016,12820527.0,0.0,1.0,16499322.0,8605868.0,3012940.0,2184692.0,1.0,0.0,"Duckworth, Tammy","Kirk, Mark Steven"
IN,2010,6490432.0,0.0,0.0,2368815.74,4953741.0,697775.0,952116.0,0.0,1.0,"Ellsworth, Brad ","Coats, Dan"
IN,2012,6537703.0,0.0,0.0,5662233.36,7265949.81,1281181.0,1133621.0,1.0,0.0,"Donnelly, Joe ","Mourdock, Richard E."
IN,2016,6634304.0,0.0,0.0,4512158.0,10698358.53,1158947.0,1423991.0,0.0,1.0,"Bayh, Evan  #","Young, Todd"
IN,2018,6695497.0,1.0,0.0,14585917.72,25950206.89,1023553.0,1158000.0,0.0,1.0,"Donnelly, Joe","Braun, Mike"
KS,2008,2808076.0,0.0,1.0,1677907.0,5752220.0,441399.0,727121.0,0.0,1.0,"Slattery, Jim ","Roberts, Pat "
KS,2010,2858190.0,0.0,0.0,32017.0,4154081.0,220971.0,587175.0,0.0,1.0,"Johnston, Lisa ","Moran, Jerry "
KS,2016,2910844.0,0.0,1.0,36252.0,4492732.0,379740.0,732376.0,0.0,1.0,"Wiesner, Patrick","Moran, Jerry"
KY,2002,4089875.0,0.0,1.0,2243595.0,4740581.0,399634.0,731679.0,0.0,1.0,"Weinberg, Lois Combs","McConnell, Mitch"
KY,2008,4289878.0,0.0,1.0,10883172.0,18681961.0,847005.0,953816.0,0.0,1.0,"Lunsford, Bruce","McConnell, Mitch"
KY,2010,4348181.0,0.0,0.0,6120252.0,7850140.0,600052.0,755706.0,0.0,1.0,"Conway, Jack","Paul, Rand"
KY,2014,4414349.0,0.0,1.0,18982841.0,21134747.0,584698.0,806787.0,0.0,1.0,"Grimes, Alison Lundergan ","McConnell, Mitch"
KY,2016,4438182.0,0.0,1.0,6381075.0,4951609.77,813246.0,1090177.0,0.0,1.0,"Gray, Jim","Paul, Rand"
LA,2002,4497267.0,1.0,0.0,7007124.0,6890996.0,596900.0,632702.0,1.0,0.0,"Landrieu, Mary","Terrell, Suzanne Haik"
LA,2008,4435586.0,1.0,0.0,9210825.0,4828982.0,988298.0,867177.0,1.0,0.0,"Landrieu, Mary","Kennedy, John"
LA,2010,4544532.0,0.0,1.0,3957916.75,8734427.0,476572.0,720225.0,0.0,1.0,"Melancon, ""Charlie""","Vitter, David "
LA,2014,4644013.0,1.0,0.0,16172161.0,18904528.0,639233.0,819777.0,1.0,0.0,"Landrieu, Mary L.","Cassidy, ""Bill"""
MA,2006,6410084.0,1.0,0.0,8931742.0,873982.0,1500738.0,661532.0,1.0,0.0,"Kennedy, Edward M.","Chase, Kenneth G."
MA,2008,6468967.0,1.0,0.0,16116152.0,2078533.0,1971974.0,926044.0,1.0,0.0,"Kerry, John F.","Beatty, Jeffrey K."
MA,2012,6663005.0,0.0,1.0,42506349.0,28154602.0,1696346.0,1458048.0,1.0,0.0,"Warren, Elizabeth A.","Brown, Scott P."
MA,2014,6762596.0,1.0,0.0,13862824.0,120258.0,1289944.0,791950.0,1.0,0.0,"Markey, Edward J.","Herr, Brian J."
MA,2018,6882635.0,1.0,0.0,25825246.34,3025033.56,1633371.0,979210.0,1.0,0.0,"Warren, Elizabeth A.","Diehl, Geoff"
MD,2006,5627367.0,0.0,0.0,8775424.0,8432622.0,965477.0,787182.0,1.0,0.0,"Cardin, Benjamin L.","Steele, Michael S."
MD,2010,5788645.0,1.0,0.0,4009956.0,1240926.0,1140611.0,655666.0,1.0,0.0,"Mikulski, Barbara A.","Wargotz, Eric"
MD,2012,5886992.0,1.0,0.0,5594299.0,1826651.0,1474239.0,693291.0,1.0,0.0,"Cardin, Ben","Bongino, Daniel John "
MD,2016,6003323.0,0.0,0.0,11960703.0,1583476.0,1659907.0,972557.0,1.0,0.0,"Van Hollen, Chris","Szeliga, Kathy"
MD,2018,6035802.0,1.0,0.0,4067153.24,197638.11,1491614.0,697017.0,1.0,0.0,"Cardin, Ben","Cambell, Tony "
ME,2002,1295960.0,0.0,1.0,3870827.0,4014799.0,209858.0,295041.0,0.0,1.0,"Pingree, Chellie","Collins, Susan M."
ME,2006,1323619.0,0.0,1.0,127767.0,3434635.0,111984.0,402598.0,0.0,1.0,"Hay Bright, Jean M.","Snowe, Olympia J."
ME,2008,1330509.0,0.0,1.0,5998773.0,7593350.0,279510.0,444300.0,0.0,1.0,"Allen, Thomas H.","Collins, Susan M."
ME,2014,1330513.0,0.0,1.0,2356057.0,5299858.0,190244.0,413495.0,0.0,1.0,"Bellows, Shenna","Collins, Susan M."
MI,2002,10015710.0,1.0,0.0,5095929.0,1126728.0,1896614.0,1185545.0,1.0,0.0,"Levin, Carl ","Raczkowski, Andrew"
MI,2006,10036081.0,1.0,0.0,9211206.0,6065160.0,2151278.0,1559597.0,1.0,0.0,"Stabenow, Debbie","Bouchard, Michael"
MI,2008,9946889.0,1.0,0.0,8306929.0,302747.0,3038386.0,1641070.0,1.0,0.0,"Levin, Carl","Hoogendyk, Jack, Jr."
MI,2012,9897145.0,1.0,0.0,10640589.0,5843048.0,2735826.0,1767386.0,1.0,0.0,"Stabenow, Debbie","Hoekstra, Pete"
MI,2014,9929848.0,0.0,0.0,10024419.0,12337661.0,1704936.0,1290199.0,1.0,0.0,"Peters, Gary","Land, Terri Lynn"
MI,2018,9984072.0,1.0,0.0,13467045.34,12551466.52,2214478.0,1938818.0,1.0,0.0,"Stabenow, Debbie","James, John"
MN,2002,5018935.0,1.0,0.0,15333072.0,10206511.0,1078627.0,1116697.0,0.0,1.0,"Mondale, Walter","Coleman, Norm "
MN,2006,5163555.0,0.0,0.0,9068105.0,9770342.0,1278849.0,835653.0,1.0,0.0,"Klobuchar, Amy","Kennedy, Mark"
MN,2012,5376643.0,1.0,0.0,7258395.0,953146.0,1854595.0,867974.0,1.0,0.0,"Klobuchar, Amy","Bills, Kurt"
MO,2002,5674825.0,1.0,0.0,12316325.0,8676910.0,913778.0,935032.0,0.0,1.0,"Carnahan, Jean","Talent, Jim"
MO,2006,5842704.0,0.0,1.0,12209906.0,14094886.0,1055255.0,1006941.0,1.0,0.0,"McCaskill, Claire","Talent, Jim"
MO,2010,5995974.0,0.0,0.0,10327090.0,11978673.0,789736.0,1054160.0,0.0,1.0,"Carnahan, Robin","Blunt, Roy"
MO,2012,6024367.0,1.0,0.0,18839767.0,5621685.45,1494125.0,1066159.0,1.0,0.0,"McCaskill, Claire","Akin, Todd"
MO,2016,6087135.0,0.0,1.0,13213897.0,12077039.0,1300200.0,1378458.0,0.0,1.0,"Kander, Jason","Blunt, Roy "
MO,2018,6121623.0,1.0,0.0,37714657.65,11946032.34,1112935.0,1254927.0,0.0,1.0,"McCaskill, Claire","Hawley, Josh"
MS,2006,2904978.0,0.0,1.0,43157.0,2810405.0,213000.0,388399.0,0.0,1.0,"Fleming, Erik R.","Lott, Trent "
MS,2012,2983816.0,0.0,1.0,0.0,3384007.0,503467.0,709626.0,0.0,1.0,"Gore, Albert N., Jr.","Wicker, Roger F."
MS,2014,2990468.0,0.0,1.0,691776.0,7094438.0,239439.0,378481.0,0.0,1.0,"Childers, Travis W.","Cochran, Thad"
MT,2002,911667.0,1.0,0.0,5952532.0,1839020.0,204853.0,103611.0,1.0,0.0,"Baucus, Max","Taylor, Mike"
MT,2006,952692.0,0.0,1.0,5601705.0,8057326.0,199845.0,196283.0,1.0,0.0,"Tester, Jon","Burns, Conrad"
MT,2008,976415.0,1.0,0.0,8433751.0,0.0,348289.0,129369.0,1.0,0.0,"Baucus, Max","Kelleher, Bob"
MT,2012,1003783.0,1.0,0.0,11912726.0,9560983.0,236123.0,218051.0,1.0,0.0,"Tester, Jon","Rehberg, Denny"
MT,2014,1021869.0,0.0,0.0,977379.0,7512469.91,148184.0,213709.0,0.0,1.0,"Curtis, Amanda #","Daines, Steve"
